incident_number,season,alarm_type,repeat_count,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
612737-05072012,Winter,1100,0,Office Hours,public_facility,Work_days,0,14,0,100
612909-05072012,Winter,6900,1,Office Hours,apartment,Work_days,0,17,0,100
613070-05072012,Winter,6990,2,Night-time,apartment,Work_days,0,9,0,100
613074-05072012,Winter,6990,1,Night-time,shopping_mall,Work_days,0,32,0,100
613102-06072012,Winter,6110,1,Night-time,others,Work_days,0,8,0,100
613110-06072012,Winter,6110,0,Night-time,hospital,Work_days,0,4,0,100
613119-06072012,Winter,1100,1,Night-time,others,Work_days,0,16,0,100
613156-06072012,Winter,1120,0,Night-time,others,Work_days,0,10,0,100
613217-06072012,Winter,6100,1,Office Hours,hospital,Work_days,0,31,0,100
613265-06072012,Winter,6100,3,Office Hours,hospital,Work_days,0,4,0,100
613435-06072012,Winter,6200,0,Office Hours,tansport,Work_days,0,4,0,100
613572-07072012,Winter,1100,0,Night-time,apartment,Week_ends,0,11,0,100
613591-07072012,Winter,6110,0,Night-time,shopping_mall,Week_ends,0,3,0,100
613710-07072012,Winter,6900,0,Office Hours,house,Week_ends,0,7,0,100
613761-07072012,Winter,7110,0,Office Hours,others,Week_ends,0,1,0,100
613911-07072012,Winter,1100,0,Office Hours,apartment,Week_ends,0,8,0,100
613957-07072012,Winter,6990,2,Office Hours,shopping_mall,Week_ends,0,4,0,100
614068-07072012,Winter,6110,1,Cooking-time,apartment,Week_ends,0,2,0,100
614337-08072012,Winter,6900,1,Office Hours,shopping_mall,Week_ends,0,6,0,100
614414-08072012,Winter,6990,1,Cooking-time,hospital,Week_ends,0,11,0,100
614478-08072012,Winter,6100,1,Office Hours,others,Week_ends,0,18,0,100
614545-08072012,Winter,6100,0,Office Hours,tansport,Week_ends,0,5,0,100
614644-08072012,Winter,1900,0,Cooking-time,shopping_mall,Week_ends,0,2,0,100
614656-08072012,Winter,6100,0,Night-time,office,Week_ends,0,9,0,100
614860-09072012,Winter,6200,0,Office Hours,hospital,Work_days,0,8,0,100
614882-09072012,Winter,6100,1,Office Hours,office,Work_days,0,6,0,100
614907-09072012,Winter,6900,0,Office Hours,restaurant,Work_days,0,8,0,100
615138-09072012,Winter,6900,3,Cooking-time,office,Work_days,0,1,0,100
615156-09072012,Winter,6900,1,Cooking-time,shopping_mall,Work_days,0,18,0,100
615231-09072012,Winter,6900,2,Night-time,apartment,Work_days,0,7,0,100
615322-10072012,Winter,6900,3,Night-time,others,Work_days,0,5,0,100
615413-10072012,Winter,6900,3,Office Hours,apartment,Work_days,0,1,0,100
615449-10072012,Winter,6900,2,Office Hours,school,Work_days,0,8,0,100
615560-10072012,Winter,6990,1,Office Hours,hotel,Work_days,0,10,0,100
615609-10072012,Winter,1100,1,Office Hours,others,Work_days,0,9,0,100
615668-10072012,Winter,6100,1,Cooking-time,hotel,Work_days,0,15,0,100
615681-10072012,Winter,6120,0,Cooking-time,office,Work_days,0,1,0,100
615774-11072012,Winter,1100,1,Night-time,public_facility,Work_days,0,6,0,100
615972-11072012,Winter,6110,2,Office Hours,others,Work_days,0,1,0,100
615997-11072012,Winter,6110,0,Cooking-time,industry_facility,Work_days,0,12,0,100
616304-12072012,Winter,6990,2,Night-time,hotel,Work_days,0,3,0,100
616364-12072012,Winter,6990,1,Cooking-time,house,Work_days,0,4,0,100
616597-12072012,Winter,1100,1,Cooking-time,office,Work_days,0,4,0,100
616653-12072012,Winter,6110,0,Cooking-time,shopping_mall,Work_days,0,7,0,100
616677-12072012,Winter,1100,2,Night-time,office,Work_days,0,4,0,100
616708-13072012,Winter,6900,1,Night-time,rest_home,Work_days,0,9,0,100
616728-13072012,Winter,6990,1,Night-time,apartment,Work_days,0,21,0,100
616729-13072012,Winter,1100,3,Night-time,office,Work_days,0,3,0,100
616747-13072012,Winter,6200,1,Night-time,industry_facility,Work_days,0,2,0,100
616750-13072012,Winter,6110,1,Night-time,hotel,Work_days,0,2,0,100
616766-13072012,Winter,1100,1,Night-time,shopping_mall,Work_days,0,6,0,100
616870-13072012,Winter,1900,0,Office Hours,public_facility,Work_days,0,1,0,100
616949-13072012,Winter,6200,1,Cooking-time,school,Work_days,0,2,0,100
616956-13072012,Winter,6990,2,Cooking-time,industry_facility,Work_days,0,1,0,100
617019-13072012,Winter,1100,4,Office Hours,office,Work_days,0,1,0,100
617036-13072012,Winter,6100,1,Office Hours,rest_home,Work_days,0,10,0,100
617136-13072012,Winter,6200,1,Cooking-time,apartment,Work_days,0,8,0,100
617193-13072012,Winter,6100,1,Cooking-time,rest_home,Work_days,0,19,0,100
617374-14072012,Winter,6900,2,Night-time,hospital,Week_ends,0,4,0,100
617390-14072012,Winter,6990,2,Night-time,others,Week_ends,0,8,0,100
617472-14072012,Winter,6110,3,Cooking-time,school,Week_ends,0,1,0,100
617509-14072012,Winter,6100,0,Cooking-time,house,Week_ends,0,10,0,100
617530-14072012,Winter,6200,1,Cooking-time,school,Week_ends,0,1,0,100
617531-14072012,Winter,6990,3,Cooking-time,others,Week_ends,0,4,0,100
617536-14072012,Winter,6100,0,Office Hours,shopping_mall,Week_ends,0,10,0,100
617575-14072012,Winter,6200,0,Office Hours,office,Week_ends,0,5,0,100
617624-14072012,Winter,1100,0,Cooking-time,public_facility,Week_ends,0,7,0,100
617688-14072012,Winter,1100,1,Office Hours,public_facility,Week_ends,0,1,0,100
617744-14072012,Winter,1100,2,Office Hours,public_facility,Week_ends,0,1,0,100
617766-14072012,Winter,6110,1,Cooking-time,others,Week_ends,0,4,0,100
617797-14072012,Winter,6100,1,Cooking-time,rest_home,Week_ends,0,3,0,100
617814-14072012,Winter,6100,0,Cooking-time,industry_facility,Week_ends,0,7,0,100
617837-14072012,Winter,6100,1,Night-time,industry_facility,Week_ends,0,2,0,100
618017-15072012,Winter,6200,0,Office Hours,shopping_mall,Week_ends,0,10,0,100
618050-15072012,Winter,6990,0,Office Hours,hospital,Week_ends,0,27,0,100
618247-15072012,Winter,6100,1,Cooking-time,hotel,Week_ends,0,2,0,100
618411-16072012,Winter,6200,0,Night-time,office,Work_days,0,8,0,100
618505-16072012,Winter,6200,0,Cooking-time,industry_facility,Work_days,0,8,0,100
618547-16072012,Winter,6110,0,Office Hours,hotel,Work_days,0,10,0,100
618723-16072012,Winter,0,0,Office Hours,others,Work_days,0,4,0,100
618730-16072012,Winter,6200,1,Office Hours,industry_facility,Work_days,0,1,0,100
618960-17072012,Winter,6200,2,Night-time,industry_facility,Work_days,0,1,0,100
618963-17072012,Winter,6200,1,Night-time,apartment,Work_days,0,3,0,100
618980-17072012,Winter,6110,1,Night-time,public_facility,Work_days,0,2,0,100
619215-17072012,Winter,6990,1,Cooking-time,office,Work_days,0,20,0,100
619240-17072012,Winter,6100,2,Office Hours,rest_home,Work_days,0,3,0,100
619318-17072012,Winter,6110,1,Office Hours,others,Work_days,0,6,0,100
