incident_number,season,alarm_type,time_of_day2,build_type,true_alarm,false_alarm,true_percentage,false_percentage
062356-28032013,Autumn,6990,Night-time,house,0,17,0,100
062778-28032013,Autumn,6100,Office Hours,industry_facility,0,22,0,100
063079-29032013,Autumn,6990,Night-time,tansport,0,18,0,100
063896-30032013,Autumn,6210,Cooking-time,office,0,6,0,100
064241-31032013,Autumn,1100,Night-time,hotel,0,10,0,100
064267-31032013,Autumn,6210,Night-time,office,0,4,0,100
064293-31032013,Autumn,6100,Night-time,house,0,21,0,100
064614-31032013,Autumn,1100,Cooking-time,tansport,0,8,0,100
065441-02042013,Autumn,6110,Office Hours,public_facility,0,30,0,100
066106-03042013,Autumn,6200,Office Hours,tansport,0,2,0,100
066514-04042013,Autumn,1120,Night-time,office,0,6,0,100
066656-04042013,Autumn,6990,Office Hours,restaurant,0,4,0,100
066941-04042013,Autumn,6200,Cooking-time,tansport,0,6,0,100
