incident_number,season,alarm_type,repeat_count,work_end,true_alarm,false_alarm,true_percentage,false_percentage
084971-05052013,Autumn,1100,2,Week_ends,0,10,0,100
094407-20052013,Autumn,6900,6,Work_days,0,4,0,100
095050-21052013,Autumn,6200,4,Work_days,0,3,0,100
096952-24052013,Autumn,6900,7,Work_days,0,3,0,100
097298-25052013,Autumn,6900,8,Week_ends,0,1,0,100
099348-28052013,Autumn,7110,1,Work_days,0,2,0,100
101032-01062013,Winter,6900,4,Week_ends,0,3,0,100
107115-12062013,Winter,7110,1,Work_days,0,3,0,100
108790-16062013,Winter,6290,0,Week_ends,0,3,0,100
108877-16062013,Winter,6290,1,Week_ends,0,1,0,100
108903-16062013,Winter,6200,2,Week_ends,0,5,0,100
111802-22062013,Winter,1100,5,Week_ends,0,2,0,100
112924-23062013,Winter,7110,1,Week_ends,0,1,0,100
113849-25062013,Winter,6210,0,Work_days,0,2,0,100
114006-25062013,Winter,6110,4,Work_days,0,5,0,100
114037-25062013,Winter,6110,5,Work_days,0,1,0,100
118473-04072013,Winter,6990,9,Work_days,0,1,0,100
121869-10072013,Winter,8990,0,Work_days,0,1,0,100
162869-11092013,Spring,6210,0,Work_days,0,4,0,100
202740-23102013,Spring,6990,5,Work_days,0,4,0,100
203013-23102013,Spring,6990,6,Work_days,0,1,0,100
203398-24102013,Spring,6990,7,Work_days,0,1,0,100
209014-30102013,Spring,1100,5,Work_days,0,2,0,100
209016-30102013,Spring,1100,6,Work_days,0,2,0,100
209018-30102013,Spring,1100,7,Work_days,0,2,0,100
209019-30102013,Spring,1100,8,Work_days,0,1,0,100
209020-30102013,Spring,1100,9,Work_days,0,1,0,100
209021-30102013,Spring,1100,10,Work_days,0,1,0,100
209022-30102013,Spring,1100,11,Work_days,0,1,0,100
209023-30102013,Spring,1100,12,Work_days,0,1,0,100
209024-30102013,Spring,1100,13,Work_days,0,1,0,100
209025-30102013,Spring,1100,14,Work_days,0,1,0,100
209026-30102013,Spring,1100,15,Work_days,0,1,0,100
209027-30102013,Spring,1100,16,Work_days,0,1,0,100
209028-30102013,Spring,1100,17,Work_days,0,1,0,100
209029-30102013,Spring,1100,18,Work_days,0,1,0,100
209030-30102013,Spring,1100,19,Work_days,0,1,0,100
209031-30102013,Spring,1100,20,Work_days,0,1,0,100
209032-30102013,Spring,1100,21,Work_days,0,1,0,100
209033-30102013,Spring,1100,22,Work_days,0,1,0,100
209034-30102013,Spring,1100,23,Work_days,0,1,0,100
209035-30102013,Spring,1100,24,Work_days,0,1,0,100
209036-30102013,Spring,1100,25,Work_days,0,1,0,100
209037-30102013,Spring,1100,26,Work_days,0,1,0,100
209038-30102013,Spring,1100,27,Work_days,0,1,0,100
209039-30102013,Spring,1100,28,Work_days,0,1,0,100
209040-30102013,Spring,1100,29,Work_days,0,1,0,100
209041-30102013,Spring,1100,30,Work_days,0,1,0,100
209042-30102013,Spring,1100,31,Work_days,0,1,0,100
209043-30102013,Spring,1100,32,Work_days,0,1,0,100
209044-30102013,Spring,1100,33,Work_days,0,1,0,100
209045-30102013,Spring,1100,34,Work_days,0,1,0,100
209046-30102013,Spring,1100,35,Work_days,0,1,0,100
209047-30102013,Spring,1100,36,Work_days,0,1,0,100
209048-30102013,Spring,1100,37,Work_days,0,1,0,100
209049-30102013,Spring,1100,38,Work_days,0,1,0,100
209050-30102013,Spring,1100,39,Work_days,0,1,0,100
209051-30102013,Spring,1100,40,Work_days,0,1,0,100
209052-30102013,Spring,1100,41,Work_days,0,1,0,100
209053-30102013,Spring,1100,42,Work_days,0,1,0,100
209054-30102013,Spring,1100,43,Work_days,0,1,0,100
209064-30102013,Spring,1100,44,Work_days,0,1,0,100
209067-30102013,Spring,1100,45,Work_days,0,1,0,100
209564-31102013,Spring,1900,4,Work_days,0,1,0,100
209565-31102013,Spring,1900,5,Work_days,0,1,0,100
209566-31102013,Spring,1900,6,Work_days,0,1,0,100
209567-31102013,Spring,1900,7,Work_days,0,1,0,100
209568-31102013,Spring,1900,8,Work_days,0,1,0,100
209569-31102013,Spring,1900,9,Work_days,0,1,0,100
209570-31102013,Spring,1900,10,Work_days,0,1,0,100
210965-02112013,Spring,6120,1,Week_ends,0,1,0,100
211330-02112013,Spring,1100,3,Week_ends,0,1,0,100
211909-03112013,Spring,6990,5,Week_ends,0,1,0,100
212178-03112013,Spring,6990,6,Week_ends,0,1,0,100
224753-19112013,Spring,7110,1,Work_days,0,1,0,100
227307-23112013,Spring,6900,4,Week_ends,0,6,0,100
234780-06122013,Summer,1200,1,Work_days,0,1,0,100
235343-07122013,Summer,1200,2,Week_ends,0,1,0,100
235854-08122013,Summer,1200,3,Week_ends,0,1,0,100
236069-08122013,Summer,1200,4,Week_ends,0,1,0,100
236726-09122013,Summer,1200,5,Work_days,0,1,0,100
236786-09122013,Summer,1200,6,Work_days,0,1,0,100
239493-14122013,Summer,1900,1,Week_ends,0,2,0,100
009964-16012014,Summer,6210,0,Work_days,0,2,0,100
032701-17022014,Summer,7110,1,Work_days,0,3,0,100
034641-20022014,Summer,6900,9,Work_days,0,1,0,100
