incident_number,season,alarm_type,time_of_day2,build_type,work_end,true_alarm,false_alarm,true_percentage,false_percentage
663214-16092012,Spring,6900,Office Hours,restaurant,Week_ends,0,5,0,100
663398-16092012,Spring,0,Night-time,others,Week_ends,0,4,0,100
663405-16092012,Spring,1100,Night-time,industry_facility,Week_ends,0,8,0,100
664039-18092012,Spring,1100,Night-time,industry_facility,Work_days,0,10,0,100
664089-18092012,Spring,6900,Night-time,restaurant,Work_days,0,10,0,100
664192-18092012,Spring,1120,Office Hours,hotel,Work_days,0,3,0,100
664398-18092012,Spring,6100,Office Hours,industry_facility,Work_days,0,17,0,100
664420-18092012,Spring,1120,Office Hours,others,Work_days,0,8,0,100
664427-18092012,Spring,1100,Office Hours,hotel,Work_days,0,7,0,100
664657-19092012,Spring,1120,Night-time,hotel,Work_days,0,2,0,100
664791-19092012,Spring,6100,Cooking-time,tansport,Work_days,0,39,0,100
665149-19092012,Spring,6200,Office Hours,office,Work_days,0,13,0,100
665942-20092012,Spring,6110,Cooking-time,hospital,Work_days,0,10,0,100
665956-20092012,Spring,1100,Cooking-time,hotel,Work_days,0,21,0,100
666275-21092012,Spring,6200,Cooking-time,house,Work_days,0,4,0,100
666363-21092012,Spring,6110,Office Hours,office,Work_days,0,8,0,100
666369-21092012,Spring,6110,Office Hours,shopping_mall,Work_days,0,7,0,100
666718-22092012,Spring,6200,Night-time,shopping_mall,Week_ends,0,8,0,100
666984-22092012,Spring,6110,Cooking-time,apartment,Week_ends,0,8,0,100
667284-22092012,Spring,6200,Office Hours,apartment,Week_ends,0,25,0,100
667445-22092012,Spring,1100,Cooking-time,hotel,Week_ends,0,4,0,100
667520-23092012,Spring,1100,Night-time,shopping_mall,Week_ends,0,17,0,100
667622-23092012,Spring,1100,Night-time,hotel,Week_ends,0,5,0,100
667939-23092012,Spring,1100,Office Hours,office,Week_ends,0,3,0,100
668175-23092012,Spring,0,Night-time,public_facility,Week_ends,0,1,0,100
668896-24092012,Spring,6200,Office Hours,public_facility,Work_days,0,11,0,100
668995-24092012,Spring,1100,Cooking-time,house,Work_days,0,7,0,100
669832-26092012,Spring,1900,Night-time,apartment,Work_days,0,5,0,100
672889-29092012,Spring,1900,Office Hours,others,Week_ends,0,6,0,100
673129-29092012,Spring,1100,Night-time,tansport,Week_ends,0,4,0,100
673322-30092012,Spring,6200,Night-time,industry_facility,Week_ends,0,4,0,100
673343-30092012,Spring,6200,Night-time,school,Week_ends,0,4,0,100
673549-30092012,Spring,0,Cooking-time,school,Week_ends,0,2,0,100
673810-30092012,Spring,6900,Office Hours,tansport,Week_ends,0,11,0,100
674655-01102012,Spring,6120,Cooking-time,others,Work_days,0,1,0,100
674792-01102012,Spring,6990,Night-time,house,Work_days,0,12,0,100
675576-03102012,Spring,1900,Night-time,others,Work_days,0,6,0,100
675966-03102012,Spring,6200,Office Hours,house,Work_days,0,8,0,100
676819-04102012,Spring,1100,Office Hours,industry_facility,Work_days,0,8,0,100
677158-04102012,Spring,6110,Night-time,office,Work_days,0,10,0,100
678129-05102012,Spring,6990,Office Hours,house,Work_days,0,14,0,100
678472-06102012,Spring,6100,Night-time,school,Week_ends,0,17,0,100
678507-06102012,Spring,6110,Night-time,school,Week_ends,0,16,0,100
678627-06102012,Spring,1120,Cooking-time,others,Week_ends,0,8,0,100
679288-06102012,Spring,6990,Cooking-time,industry_facility,Week_ends,0,23,0,100
679385-07102012,Spring,6990,Night-time,industry_facility,Week_ends,0,11,0,100
679447-07102012,Spring,6100,Night-time,industry_facility,Week_ends,0,2,0,100
680220-08102012,Spring,6200,Office Hours,rest_home,Work_days,0,24,0,100
680455-08102012,Spring,1900,Office Hours,others,Work_days,0,5,0,100
681760-10102012,Spring,1100,Office Hours,house,Work_days,0,2,0,100
